UUID,Soubory,Typ,Původní/jiné označení -  Archivní jednotka,Původní/jiné označení -  Inventární číslo,Původní/jiné označení -  Bod schůze,Původní/jiné označení -  Signatura,Ukládací jednotka - typ,Ukládací jednotka - hodnota,Obsah
83b9d8f191114042815173b0b82579a1,,složka,241,,1inf,,svazek,177,Návštěva izraelského vyslance pana Smuhela Bendora u předsedy Národního shromáždění
67bfae025226450dbd6a6ebc68cc072f,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 29. května 1958
8c86748db52d487f96e4dcfee8396ace,,série,,,,,,,Program
c935d03b57384a6d91b1efe5f699c8d5,,složka,242,,0,,svazek,178,Zápis
a2c26d47dba64a228efd1685b393b914,,složka,242,,1,,svazek,178,Základní problémy a úkoly pro přípravu dlouhodobého výhledu rozvoje Národního hospodářství ČSR do roku 1975
433e3d6d75244292acc4ee75324f0293,,složka,242,,2,,svazek,178,Další směry rozvoje kultury a výstavby socialistické vesnice
1b9d1861ed3e45b2a25bf2b4fa72e435,,složka,242,,3,,svazek,178,Problémy likvidace kulactva jako třídy v souvislosti s dovršením výstavby socialismu v naší zemi
f94d372d63be4d528d261952b63f79ed,,složka,242,,4,,svazek,178,Mechanizace a chemizace zemědělské výroby
8f2a02cf7ce44862a9754252beb6a7c8,,složka,242,,5,,svazek,178,Zlepšení struktury a zvýšení efektivnosti strojírenské výroby
c737d14ba1b54219b7f52ceabcf30fa0,,složka,242,,6,,svazek,178,Postavení a úloha chemického průmyslu v československém národním hospodářství
f8d61691cb2042bc8d40815752605e21,,složka,242,,7,,svazek,178,Úloha a úkoly technického rozvoje při rozvoji výroby a zvyšování produktivity práce
b8a3e9295ec04047bed2c534ced13760,,složka,242,,8,,svazek,178,Rozvoj dopravy do roku 1965 a dalších let
c3044393d8a54d788d447df8b0f7beb5,,složka,242,,9,,svazek,179,Zásady pro postup a způsob politického a organizačního zajištění přestavby soustav dělnických mezd
6367883f1d3b40a19753e72c64f8356c,,složka,242,,10,,svazek,179,"Zpráva o projednaných připomínkách k ""Návrhu zásad zvýšení ekonomické účinnosti řízení hospodářství zpravovaného národním výborem po provedené decentralizaci"" a návrh usnesení Ústředního výboru KSČ k těmto zásadám"
261e8b574e154a65b745ef53e5366666,,složka,242,,11,,svazek,179,Výměna dodávek hnědého uhlí mezi ministerstvem dopravy a vnitřního obchodu
ada40e5d6e6b40819515140ae09aa204,,složka,242,,12,,svazek,179,Zlepšení zásobování obyvatelstva palivem ve městech a průmyslových centrech
7b5923fa3f154813b2f2bd697bf55529,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 5. června 1958
50a9d60dc2d44130a41dd5305997f383,,série,,,,,,,Program
0062e3dcf76b424bb6a6b5fab882bfb0,,složka,243,,0,,svazek,179,Zápis
08ff44d0924845f888dd5e7d5d31a391,,složka,243,,1,,svazek,179,Zpráva Ústředního výboru KSČ XI. sjezdu
aa9908a6cc244b9a8d89965c38658b3f,,složka,243,,2,,svazek,179,Zásady dalšího rozvoje životní úrovně obyvatelstva
2e47ae26bb9d47d18bc93929a7b49e2a,,složka,243,,3,,svazek,179,Dokument o maximální zvýšení výroby stavebních hmot do roku 1965
df3949ec8998485389907934f4f5f299,,složka,243,,4,,svazek,179,Zásady statutu Státní plánovací komise a zásady pro práci Hospodářské rady
0fae1e394cd04793887b68de386d15fa,,složka,243,,5,,svazek,179,"Zdanění podniku Sazka, odvod a použití výtěžků převyšujících rozpočet tělovýchovy"
